"name","values","values-ko"
"vip_purchase_error_7","Order information is abnormal, please contact WeChat: LittleQvQ for help.","구매 이상.WeChat: LittleQvQ로 문의하기 바랍니다."
"vip_purchase_no_permission","Unable to start Google In-App Payments, please check if Google Play's ""Background Popup"" permissions is enabled.","고객님의 핸드폰은 Google Play 지불이 안됩니다.Google Play 팝업 창 접근관한 허용되었습니까?"
"vip_purchase_order_confirm_error","Order Confirmation Failed","확인 실패"
"vip_purchase_canceled","Order Cancelled","구매 취소"
"tuner_title","Tuner","튜너"
"vip_alert_message","Premium required, go Premium now?.","이 기능을 아용하시면 회원 가입해야됩니다."
"vip_alert_toOpen","Go Premium Now","회원 가입하기"
"vip_alert_teacher","I'm a teacher","선생님입니다."
"vip_alert_gift","Free Trial","무료시용 받기"
"metronome_title","Metronome","메트로놈"
"metronome_dialog_title","Tempo","템포"
"metronome_speed","BPM","속도"
"metronome_a_tempo","Origin","기본"
"metronome_following","Metronome clicks not supported in Node-by-note Mode.","메트로놈을 Note-by-note모드에서 이용할 수 없습니다"
"practice_guide_start","How to start?","시작방법"
"practice_guide_next","Next","다음"
"practice_guide_skip","Skip","닫기"
"practice_guid1","One of the most powerful functions of Violy app is that it understands Music!
        \n\nConsidering the inconvenience of operating on the screen while playing the music,\nVioly app is designed with the following features:\n\n
        - to Start by playing the 4 open strings sequentially; \n\n
        - to Stop by not playing any notes over 6 seconds.","이 앱의 특이한 기능은 「바이올린소리 분석하기」입니다.\n\n
   \n\n바이올린을 연주할 때 앱을 동시에 하는 것이 불편하다는 점을 고려하여 \nVioly가 이러한 디자인을 가지고 있습니다:\n\n
   -「연습 시작」안내:\n
   차례로 줄 4개를 연주하세요.\n\n
   -「연습 중지」안내:\n
   연주 멈춘 후 6초 이내에 연주하지 않으면 자동 중지됩니다."
"practice_guide2_title","Guide","안내"
"practice_guide2_content","Start Violy practicing with playing the open strings 1(E) , 2(A) , 3(D) , 4(G) by order.","1(E) , 2(A) , 3(D) , 4(G)순서대로 연주하세요.해 볼까요?"
"practice_try","Try now","바로 시도하기"
"practice_video","Guide Video","동영상으로 소계"
"practice_guide3_title","Pick up your instrument.","바이올린 들고"
"practice_guide3_subtitle","Let’s play the E string","먼저  E로부터 연주하세요."
"practice_guide3_content"," - when the \E\"" symbol is green,         - when the E symbol is yellow           - when the E symbol is red,","E 현이 파래지면 통과                   E 현이 노래지면 편차                   E 현이 빨개지면 틀림"
"practice_guide3_content_2A","Very Well. Now Play \A\"" strings""","좋아요. A 연주하세요"
"practice_guide3_content_3D","Great! You are a quick learner! Now, play the 3 (D) string.","잘 했어요! D 연주하세요"
"practice_guide3_content_4G","Excellent! One last string left 4 (G).","Cool! G 연주하세요"
"practice_guide3_complete","All strings Passed!","통과했어요"
"practice_guide3_content_yellow","Not precise, maybe you need to tune your strings.","음정이  좀 틀리는데 튜닝할 필요가 있는 것 같아요"
"practice_guide3_content_red","Please check if you played the right string.","줄을 잘못 연주하셨나요?"
"practice_guide4_content","Now you should understand how to start an audition!","지금 어떻게 연습을 시작할 지 아세요?"
"practice_guide4_finish","End Guide","완료"
"evaluate_reach_limited","Your daily free Auditions have reached the limit. Go Premium now and enjoy unlimited Audition.","고객님 오늘 무료 오디션 모드로 이용할 수 없습니다.무한 오디션모드로 이용하시려면 회원 가입하세요."
"evaluate_reach_limited_go_vip","Go Premium","Go Premium"
"evaluate_reach_limited_time_error","The system time is abnormal. Please check your system time setting.","시스템 시간 오류가 발생했습니다.시간설정을 확인하세요.."
"share_toolbar_title","Share to friends","친구에게 공유하기"
"share_not_login","Login is required to share.","공유하시려면 로그인하세요."
"share_image","Share Image","이메지 공유하기"
"share_audio","Share Audio","오디오 공유하기"
"share_info_content","I have practiced on Violy for %d days, %d times in total.","내가 Violy에 이용하는 제 %d 날 ,연습 총 %d 차"
"share_score","","점"
"share_info_duration","Duration","시간"
"share_info_range","%d ~ %d（%d bars in total）","%d ~ %d（합계%소절）"
"share_no_vip","The student is currently not a Premium user. The detailed analysis function is only available for Premium users.","학생은 회원이 아닙니다.결과분석을 조회할 수 없습니다"
"share_wechat_not_support","WeChat is not installed or the current WeChat version does not support sharing.","WeChat 설치하지 않거나 이버전은 공유를 허용하지 않습니다."
"evaluate_alert_content","Rate Violy App","공감하기"
"evaluate_alert_title","Let us know you like it!","더 나은 ""Violy""가 되도록 하겠습니다."
"evaluate_alert_positive_btn","Rate Now","바로가기"
"evaluate_alert_negative_btn","No, Thanks","잠시 후"
"web_retry_msg","Network error. Click to reload. ","네트워크 오류.다시 로딩하시려면 클릭"
"organization_no_vip","Not an organization VIP","그룹 VIP 아닙니다"
"organization_vip_active","Expiration date: %s","만료시간：%s"
"organization_join_time","Member since: %s","가입시간：%s"
"practice_organization_not_valid","The student’s membership is not valid and cannot be commented.","이 학생은 그룹 Premium 아닙니다.댓글을 작성할 수 없습니다."
"all_update_a4","Standard pitch (the frequency of A4) is changed to %d Hz","표준 피치(A4 주파) %d로 조절되었습니다"
"tuner_string_screwUp","Tighten the string","현을 팽팽하게 돌려주세요"
"tuner_string_screwOff","Loosen the string","현을 느슨하게 돌려주세요"
"tuner_prompt_guide","Play %s string"," %s 현을 연주하세요."
"tuner_pitch_error_tooLow","Very Low","낮음 - 틀린"
"tuner_pitch_error_low","Slightly Lower","낮음 - 비교적 낮음"
"tuner_pitch_error_ok","Perfect!","잘되었어요"
"tuner_pitch_error_high","Slightly Higher","높음 - 비교적 높음"
"tuner_pitch_error_tooHigh","Very High","높음 - 틀린"
"tuner_pitch_draw_err","Please check if you played the right string.","줄을 잘못 연주하셨나요?"
"tuner_auto","","자동 "
"tuner_violin","Violin","바이올린"
"tuner_viola","Viola","비올라"
"tuner_cello","Cello","첼로"
"tuner_speaker","Speaker Mode","재생 모드"
"records_item_time_minutesAgo"," one: ""%d minute ago"" other: ""%d minutes ago""","%d분전"
"me_member_date_expired_days"," one: ""Expired: %d day other: ""Expired: %d days","만료됨：%d 날"
"addToLineup_sheetCount"," one: ""%d piece"" other:  ""%d pieces ","%d곡"
"sheet_setting_header_evaluation_mode","Audition","오디션"
"sheet_setting_header_help","Help","도움"
"audition_metronome_name","Click","클릭"
"sheet_following_mode_high","Higher","높음"
"sheet_following_mode_low","Lower","낮음"
"sheet_following_mode_fast","Ahead","빠름"
"sheet_following_mode_slow","Behind","느림"
"Xxx","How to start? [Tips]
One of the most powerful functions of Violy app is that it understands Music!

Considering the inconvenience of operating on the screen while playing the music,
Violy app is designed with the following features:

- to Start by playing the 4 open strings sequentially;
- to Stop by not playing any notes over 6 seconds.   

>Next


Start Violy practicing with playing the open strings 
1(E) , 2(A) , 3(D) , 4(G) by order.


>Try now / 
Pick up your instrument.
Let’s play the E string

- when the E symbol is green, it means your E string is in the right tune;
- when the E symbol is yellow, it means there is a tiny bias;
- when the E symbol is red, it means there is a huge bias.","이 앱의 특이한 기능은 「바이올린소리 분석하기」입니다.
바이올린을 연주할 때 앱을 동시에 하는 것이 불편하다는 점을 고려하여 Violy가 이러한 디자인을 가지고 있습니다:
「연습 시작」안내:차례로 줄 4개를 연주하세요.
「연습 중지」안내:연주 멈춘 후 6초 이내에 연주하지 않으면 자동 중지됩니다.


 1(E) , 2(A) , 3(D) , 4(G)순서대로 연주하세요.해 볼까요?   

 악기를 들고 E 현을 연주합시다


E현이 파래지면 통과
E현이 노래지면 편차
E현이 빨개지면 틀림"
"instrument_choose","Select instrument!","악기를 선택하십시오!"
"instrument_choose_hint","Notice: instrument can be switched in the app.","알림 : 앱에서 악기를 전환 할 수 있습니다."
"instrument_please_choose","Select your instrument!","악기를 선택하십시오!"
"lineup_empty_hint_operations","Music Cloud > Sheet music to search > Download to your Collections","Music Cloud > 검색 > 컬렉션으로 다운로드"
"evaluate_alert_activity_not_found","No App Markets Found on current device.","현재 장치에서 앱 마켓을 찾을 수 없습니다."
"lineup_empty_hint","No musics in the collection.\n Musics can be download from \n%s","컬렉션에 음악이 없습니다. \ n 음악은 \ n%s 에서 다운로드 할 수 있습니다."
